Date,Open,High,Low,Close,Adj Close,Volume
01 December 2017,9947.080078,10942.79981,9420.929688,10861.46973,10861.46973,1353669597
02 December 2017,10861.46973,11175.23047,10715.54981,10912.73047,10912.73047,950474241
03 December 2017,10912.71973,11851.08984,10578.42969,11246.20996,11246.20996,1380012064
04 December 2017,11244.2002,11624.62988,10917.80957,11623.91016,11623.91016,1057859226
05 December 2017,11624.37012,11901.87012,11486.12988,11667.12988,11667.12988,1048839303
06 December 2017,11667.12988,13843.2002,11661.75977,13749.57031,13749.57031,2437037791
07 December 2017,13750.08984,16879.25977,13401.61035,16850.31055,16850.31055,4510225316
08 December 2017,16867.98047,17294.84961,13906.09961,16047.61035,16047.61035,4546014731
09 December 2017,16048.17969,16313.17969,13151.46973,14843.41992,14843.41992,2699876215
10 December 2017,14839.98047,15783.2002,13031,15059.59961,15059.59961,2904037859
11 December 2017,15060.4502,17399.17969,15024.55957,16732.4707,16732.4707,2634267594
12 December 2017,16733.28906,17560.65039,16254.53027,17083.90039,17083.90039,2246138895
13 December 2017,17083.90039,17267.96094,15669.86035,16286.82031,16286.82031,2576055941
14 December 2017,16286.82031,16941.08008,16023.63965,16467.91016,16467.91016,1773813863
15 December 2017,16467.91016,17987.0293,16442.19922,17604.84961,17604.84961,2682351213
16 December 2017,17604.84961,18547.43945,17318.53906,18507.23047,18507.23047,899905792
